SEX,MALE.STAGE,FEMALE.STAGE,CONFIRM.,filename_image,image_size,bgr_pixel_m,bgr_pixel_f,hsv_pixel_m,hsv_pixel_f,lab_pixel_m,lab_pixel_f,ycrcb_pixel_m,ycrcb_pixel_f,bgr,hsv,lab,ycrb,,BEST,bgr_perc_f_total,bgr_perc_m_total,bgr_perc_f_gonad,bgr_perc_m_gonad,bgr_perc_gonad_total,hsv_perc_f_total,hsv_perc_m_total,hsv_perc_f_gonad,hsv_perc_m_gonad,hsv_perc_gonad_total,lab_perc_f_total,lab_perc_m_total,lab_perc_f_gonad,lab_perc_m_gonad,lab_perc_gonad_total,ycrcb_perc_f_total,ycrcb_perc_m_total,ycrcb_perc_f_gonad,ycrcb_perc_m_gonad,ycrcb_perc_gonad_total,magnification
H,2,2,,20180924-angasi131-10x-tiled.tif,26292552,1942337.5,0,1484420.5,3491755.5,2913519,26048211,2965563.5,26073674.5,,,,,,,0,7.387405757,0,100,7.387405757,13.28039781,5.645783262,70.16945341,29.83054659,18.92618107,99.07068359,11.08115713,89.94010717,10.05989283,110.1518407,99.16753041,11.27910102,89.78773651,10.21226349,110.4466314,10x
H,5,1,,20180924-angasi138-10x-tiled.tif,17840055,439438,80772.5,249779.5,0,869550,16949454.5,504954.5,17736830,,,,,,,0.452759254,2.463209895,15.52688767,84.47311233,2.915969149,0,1.400104988,0,100,1.400104988,95.00786012,4.874144166,95.12009776,4.879902241,99.88200429,99.42138631,2.830453718,97.23187992,2.768120082,102.25184,10x
H,5,1,,20180924-angasi138-10x-tiled-scale.tif,17840055,1147194,0,511472.5,6990000.5,1261112.5,17748436,966093.5,17768952.5,,,,,,,0,6.430439816,0,100,6.430439816,39.18149636,2.86698948,93.18170578,6.81829422,42.04848584,99.48644217,7.068994462,93.36589977,6.634100226,106.5554366,99.60144461,5.415305614,94.8433887,5.156611305,105.0167502,10x
H,5,1,,20180924-angasi138-10x-tiled2.tif,17825435,480158.5,0,605211,12824174.5,656442.5,12080384.5,349046,12709540.5,,,,,,,0,2.693670589,0,100,2.693670589,71.94312229,3.395210271,95.49338278,4.506617224,75.33833256,67.77048919,3.682617002,94.84610649,5.153893509,71.45310619,71.30002999,1.958134542,97.32707671,2.672923291,73.25816453,10x
H,5,1,,20180924-angasi138-40x-scale.tif,4915200,258636.5,32786,87000.5,1831702,178753.5,2850118.5,108126,3161242.5,,,,,,,0.667032878,5.261973063,11.25033242,88.74966758,5.929005941,37.26607259,1.770029704,95.46565974,4.534340264,39.03610229,57.98580933,3.636749268,94.0983475,5.901652496,61.62255859,64.31564331,2.199829102,96.6927558,3.307244197,66.51547241,40x
H,2,1,,20180924-angasi143-10x-scale.tif,307200,30233.5,0,22561.5,10240.5,40093.5,162102,15068.5,167760,,,,,,,0,9.841634115,0,100,9.841634115,3.333496094,7.344238281,31.21913298,68.78086702,10.67773438,52.76757813,13.05126953,80.17092369,19.82907631,65.81884766,54.609375,4.905110677,91.75812305,8.24187695,59.51448568,10x
H,2,1,,20180924-angasi143-10x-tiled.tif,17846160,312338,0,69104,0,487305,17556636,239161,17610597,,,,,,,0,1.750169224,0,100,1.750169224,0,0.387220556,0,100,0.387220556,98.3776678,2.73058742,97.29934275,2.700657246,101.1082552,98.68003537,1.340125831,98.6601443,1.3398557,100.0201612,10x
H,2,1,,20180924-angasi143-40x.tif,4915200,1181585.5,66595,2308504,3748879.5,1626863,715386.5,651931.5,4087240.5,,,,,,,1.354878743,24.03941854,5.335366159,94.66463384,25.39429728,76.27114868,46.96663411,61.88941975,38.11058025,123.2377828,14.5545756,33.09861247,30.54271118,69.45728882,47.65318807,83.15512085,13.26358032,86.2437679,13.7562321,96.41870117,40x
H,2,1,,20180924-angasi143-10x.tif,4915200,745333.5,238639,539163,110210,881277.5,2992347,358329.5,2985581,,,,,,,4.855122884,15.16384888,24.25260869,75.74739131,20.01897176,2.24222819,10.96929932,16.97175583,83.02824417,13.21152751,60.87945557,17.92963664,77.24927907,22.75072093,78.8090922,60.74180094,7.29023234,89.2841181,10.7158819,68.03203328,10x
H,2,1,,20180924-angasi143-40x-scale.tif,307200,65293,3670,133704,223807,84342.5,41389,35802.5,253167,,,,,,,1.194661458,21.25423177,5.321694242,94.67830576,22.44889323,72.85384115,43.5234375,62.60143045,37.39856955,116.3772786,13.47298177,27.45524089,32.91856058,67.08143942,40.92822266,82.41113281,11.65445964,87.61028413,12.38971587,94.06559245,40x
